"","alpha","b_mkt","b_smb","b_hml","ivol","tvol","exret","exret_sq","Direction"
"388",4e-04,1.0835,-0.1512,-0.238,0.008433,0.01201,-0.001636,1.437601e-06,"0"
"389",4e-04,1.0832,-0.1492,-0.2343,0.008433,0.011984,-0.001199,2.25e-08,"0"
"390",4e-04,1.0838,-0.1484,-0.2352,0.008431,0.011992,-0.00015,4.0768225e-05,"1"
"391",4e-04,1.0836,-0.1451,-0.2311,0.008439,0.011991,0.006385,2.4561936e-05,"1"
"392",4e-04,1.0817,-0.1473,-0.224,0.008434,0.011976,0.004956,2.55025e-07,"1"
"393",4e-04,1.0817,-0.1486,-0.2239,0.008432,0.011995,0.000505,1.024e-05,"1"
"394",4e-04,1.0801,-0.1499,-0.2234,0.008433,0.011993,0.0032,9.6786244e-05,"1"
"395",5e-04,1.0876,-0.1575,-0.224,0.008453,0.012078,0.009838,4.439449e-06,"0"
"396",5e-04,1.0865,-0.1575,-0.2269,0.008454,0.01208,-0.002107,1.23201e-05,"1"
"397",5e-04,1.0865,-0.1552,-0.2299,0.008454,0.012082,0.00351,4.004001e-06,"1"
"398",5e-04,1.0978,-0.1545,-0.2433,0.008435,0.012048,0.002001,4.431025e-06,"0"
"399",4e-04,1.0981,-0.1534,-0.242,0.008436,0.012049,-0.002105,2.89e-06,"0"
"400",4e-04,1.0953,-0.1528,-0.2383,0.008426,0.012014,-0.0017,4.3191184e-05,"1"
"401",4e-04,1.0976,-0.1567,-0.2448,0.008434,0.01202,0.006572,5.555449e-06,"0"
"402",5e-04,1.0982,-0.149,-0.2505,0.008408,0.012044,-0.002357,1.0962721e-05,"1"
"403",5e-04,1.0974,-0.1515,-0.2536,0.00841,0.012038,0.003311,0.000113039424,"0"
"404",4e-04,1.083,-0.1551,-0.2753,0.008431,0.011985,-0.010632,7.396e-05,"1"
"405",5e-04,1.0789,-0.1485,-0.2692,0.008438,0.011987,0.0086,2.876416e-06,"0"
"406",4e-04,1.0793,-0.1445,-0.2696,0.008435,0.011987,-0.001696,4.605316e-06,"1"
